rel_dist_x,rel_dist_y,rel_dist_z,tof,delta_v_x,delta_v_y,delta_v_z
-46022366.96601027,-3931774.7773750275,13146984.831042796,135.08411546322034,19.719781780373882,23.950449218393903,12.322025995893737
-35307373.946233764,20972733.450681746,11507680.971092954,106.00727013092455,21.37987960907822,23.87495039305918,10.701080895933385
-37034748.26052402,-35858829.970371544,6393355.060947448,132.143121906692,19.847323557082788,21.93606391241445,12.666827568507712
-20359076.214769166,56984096.226983994,11381909.082302198,129.91821826277126,23.92643080571044,28.100268581891147,10.559274838131039
-54014121.844712004,40800980.78104985,22647273.158799842,99.22338884208256,19.09258707092507,24.625179110345716,11.395920662815168
-40448695.795904085,30935177.118207484,15244105.632351175,126.49283711478503,21.11136364506695,25.794053684766865,11.418326429919368
-38467214.295569256,15673046.958874673,12171506.612764567,55.54997044378639,18.77872975654411,18.713709749207986,9.357315615441173
-37569274.70039718,41266485.6125066,15700559.018340066,60.698367109493766,19.810222010442367,23.447786053750512,9.703419550363472
-26995613.73748194,14879681.0962134,6962446.4300542325,86.14977674771797,22.25429968085799,21.904806486146473,9.58389836736676
-48365985.81402849,36556047.51771593,19549533.652955666,62.16324688797315,17.691722997847638,22.482496882614104,10.514600468989638
-44590997.86190887,29955510.797822803,16888736.691801786,127.19433265445488,20.61144405172231,25.65124772231721,11.61753727390748
-19465794.83289616,22484564.82269916,4624939.318417698,115.30690815023331,23.535313249090578,25.120292022616923,10.183382104256506
-22590807.771406088,55065598.91936886,11916807.871398225,101.74273757732765,23.660547484990648,26.749179124336827,9.895617200334511
-65166056.40047617,-24093279.082485676,19521690.450210094,138.7068627557584,17.031626351196717,22.17363648105024,13.528634097355983
-54835735.60183971,1375562.459200099,17564669.19097668,94.51489733757109,17.97794136337335,20.504295167574817,11.556096665889347
-42874081.97249146,-57269776.9420785,7624199.827930063,57.529147664283045,16.333064179986586,5.93488670296754,10.419004952690445
-62876592.747919366,15380137.339845568,22717372.183135465,102.58555380170817,17.502384791751606,22.300243607427497,12.001259207175057
-74851966.38321085,-32257653.452212825,23015230.029395863,59.83214266161176,10.648648035082235,9.864604096828378,12.494038612393043
-59245942.092557564,3149067.0894081295,19672042.43113056,82.893174208916,16.802851290324494,19.30790805979389,11.494228297118905
