x0 [AU],y0 [AU],z0 [AU],vx0 [km/s],vy0 [km/s],vz0 [km/s],x1 [AU],y1 [AU],z1 [AU],vx1 [km/s],vy1 [km/s],vz1 [km/s],tof [days]
3,0,0,-0.0,17.196077467085647,0.0,1.8299221150029485,2.0089980354034926,0.0,-13.357353403790972,12.166719907517395,0.0,250
3,0,0,-0.0,17.196077467085647,0.0,1.8299221150029485,2.017161300709615,0.0,-13.367034882950373,12.126265130964862,0.0,250
3,0,0,-0.0,17.196077467085647,0.0,1.8299221150029485,2.0253245660157377,0.0,-13.376521807010459,12.08596068363565,0.0,250
3,0,0,-0.0,17.196077467085647,0.0,1.8299221150029485,2.03348783132186,0.0,-13.385816156162576,12.045806537038775,0.0,250
3,0,0,-0.0,17.196077467085647,0.0,1.8299221150029485,2.0416510966279824,0.0,-13.394919894996322,12.005802649155148,0.0,250
3,0,0,-0.0,17.196077467085647,0.0,1.8299221150029485,2.049814361934105,0.0,-13.403834972521308,11.965948964726387,0.0,250
3,0,0,-0.0,17.196077467085647,0.0,1.8299221150029485,2.0579776272402275,0.0,-13.412563322192106,11.926245415539563,0.0,250
3,0,0,-0.0,17.196077467085647,0.0,1.8299221150029485,2.06614089254635,0.0,-13.421106861936224,11.886691920707902,0.0,250
3,0,0,-0.0,17.196077467085647,0.0,1.8299221150029485,2.074304157852472,0.0,-13.429467494185023,11.847288386947449,0.0,250
3,0,0,-0.0,17.196077467085647,0.0,1.8299221150029485,2.0824674231585947,0.0,-13.437647105907537,11.80803470884974,0.0,250
3,0,0,-0.0,17.196077467085647,0.0,1.8299221150029485,2.0906306884647172,0.0,-13.445647568646963,11.7689307691505,0.0,250
3,0,0,-0.0,17.196077467085647,0.0,1.8299221150029485,2.0987939537708398,0.0,-13.453470738559906,11.729976438994388,0.0,250
3,0,0,-0.0,17.196077467085647,0.0,1.8299221150029485,2.1069572190769623,0.0,-13.461118456458118,11.691171578195814,0.0,250
3,0,0,-0.0,17.196077467085647,0.0,1.8299221150029485,2.1151204843830844,0.0,-13.468592547852781,11.652516035495886,0.0,250
3,0,0,-0.0,17.196077467085647,0.0,1.8299221150029485,2.123283749689207,0.0,-13.47589482300114,11.614009648815466,0.0,250
3,0,0,-0.0,17.196077467085647,0.0,1.8299221150029485,2.1314470149953295,0.0,-13.483027076955485,11.575652245504433,0.0,250
3,0,0,-0.0,17.196077467085647,0.0,1.8299221150029485,2.139610280301452,0.0,-13.489991089614318,11.537443642587087,0.0,250
3,0,0,-0.0,17.196077467085647,0.0,1.8299221150029485,2.1477735456075746,0.0,-13.496788625775704,11.499383647003848,0.0,250
3,0,0,-0.0,17.196077467085647,0.0,1.8299221150029485,2.1559368109136967,0.0,-13.503421435192653,11.46147205584916,0.0,250
3,0,0,-0.0,17.196077467085647,0.0,1.8299221150029485,2.1641000762198193,0.0,-13.509891252630515,11.42370865660573,0.0,250
3,0,0,-0.0,17.196077467085647,0.0,1.8299221150029485,2.172263341525942,0.0,-13.516199797926257,11.386093227375062,0.0,250
3,0,0,-0.0,17.196077467085647,0.0,1.8299221150029485,2.1804266068320644,0.0,-13.522348776049613,11.348625537104393,0.0,250
3,0,0,-0.0,17.196077467085647,0.0,1.8299221150029485,2.188589872138187,0.0,-13.528339877165944,11.31130534580997,0.0,250
3,0,0,-0.0,17.196077467085647,0.0,1.8299221150029485,2.196753137444309,0.0,-13.534174776700855,11.274132404796829,0.0,250
3,0,0,-0.0,17.196077467085647,0.0,1.8299221150029485,2.2049164027504315,0.0,-13.539855135406343,11.237106456874928,0.0,250
3,0,0,-0.0,17.196077467085647,0.0,1.8299221150029485,2.213079668056554,0.0,-13.54538259942861,11.200227236571912,0.0,250
3,0,0,-0.0,17.196077467085647,0.0,1.8299221150029485,2.2212429333626766,0.0,-13.550758800377254,11.163494470342307,0.0,250
3,0,0,-0.0,17.196077467085647,0.0,1.8299221150029485,2.2294061986687987,0.0,-13.555985355395972,11.126907876773354,0.0,250
3,0,0,-0.0,17.196077467085647,0.0,1.8299221150029485,2.2375694639749213,0.0,-13.561063867234537,11.090467166787375,0.0,250
3,0,0,-0.0,17.196077467085647,0.0,1.8299221150029485,2.245732729281044,0.0,-13.565995924322158,11.054172043840873,0.0,250
3,0,0,-0.0,17.196077467085647,0.0,1.8299221150029485,2.2538959945871664,0.0,-13.570783100842018,11.01802220412025,0.0,250
