x0 [AU],y0 [AU],z0 [AU],vx0 [km/s],vy0 [km/s],vz0 [km/s],x1 [AU],y1 [AU],z1 [AU],vx1 [km/s],vy1 [km/s],vz1 [km/s],tof [days],m0_maximum [kg],m1_maximum [kg]
-2.7932319555,0.2049328077,0.1277091038,-0.9816487685,-17.6085910234,0.1341692079,-2.7971494018,-0.1128298150,0.1312098952,0.5510777675,-17.2954677035,0.2471578218,31.4869219585,2505.4530665530,2463.8415062559
-1.7053721672,2.2829601445,0.0463115420,-13.0280049282,-8.2193945211,1.4921278179,-2.4884978634,1.4029851750,0.1899794530,-7.9751903945,-15.0676775921,2.0635867054,130.2544008716,2750.0375240704,2577.9011815841
1.9079365150,-1.7287415744,-0.0122198743,11.8567853228,14.4186161878,1.2798952400,2.1033188275,-1.4630626472,0.0115977792,10.3944247191,15.8564738196,1.3823158299,30.3892309900,3810.7053974163,3770.5445393216
2.4558534339,0.7153229068,-0.1109672181,-3.8927520031,18.6372032298,2.0279609967,2.4081905701,0.9121059191,-0.0881979219,-4.9981258788,18.0822936106,2.2208571755,18.5477108038,3118.1075331536,3093.5957891797
2.3479034191,-1.5537618138,-0.2217908740,9.0543842639,14.5281847347,-0.8022457149,2.6787073972,-0.8018821013,-0.2636311252,4.8810881771,16.9046234670,-0.3718684149,82.5934431908,3245.0898305043,3135.9385987880
2.6216428981,-0.4804705183,0.1999920564,2.4553392470,18.4007808244,-0.7784553349,2.5694326550,0.5325076987,0.1150932189,-4.0287968202,18.4909899844,-1.8727112522,93.9333813536,3545.3031126247,3421.1655373423
-2.3412729340,1.8500345606,-0.0289687599,-10.5376384354,-12.3902475239,-2.0213366663,-2.9688674043,0.5481729824,-0.0738529761,-3.2593249120,-16.0100569210,1.0697851710,155.3185672628,2828.1810385484,2622.9198417187
-2.1206719847,1.8374092367,0.2981763724,-11.8438526802,-12.3314071156,0.1673792252,-2.3002987286,1.6349746657,0.3002012186,-10.5225398137,-13.1065752361,0.1577969602,27.6724409111,2745.4102735949,2708.8406845741
2.7541726476,0.4083947313,-0.0940368380,-2.9663602318,18.1473423618,0.2680235537,2.5488480948,1.1304547334,-0.1034153484,-7.2659808777,17.7144655439,-0.7754128609,69.2596918980,2492.3286096679,2400.7987077477
-2.7075552726,0.8161107359,-0.0309274644,-6.3568394186,-16.5245994451,1.2099107470,-2.9247228948,-0.0759237061,0.0099288320,-1.5433696339,-17.3067175713,0.5952921242,89.7104114141,2751.2064015668,2632.6509210991
1.6887634375,1.9661039568,-0.1877507861,-12.7578534408,12.2352078405,-0.3731222967,1.2333006256,2.3060589159,-0.2016544780,-15.6233785457,8.7688104104,-0.5151984096,56.3601872603,2185.8246892501,2111.3657078994
-1.2822794738,-2.6890622705,0.1022532664,15.4195022326,-7.1804794707,-1.4066448209,-1.2700573453,-2.6947227334,0.1011410136,15.4593576558,-7.1205169979,-1.4034299199,1.3706498186,5007.3728456488,5005.5614660665
2.6906230533,0.3339725503,-0.0539333386,-1.7291700370,18.3028892365,1.4112503519,2.5682523007,0.9180875442,0.0048144444,-5.7897137726,17.4962803911,2.1848816165,56.2605953265,3713.8068005804,3639.4555690794
2.0829386498,1.5318315648,-0.1571250192,-11.5178654854,14.7582747386,-2.5183064019,1.6524038960,1.9770294507,-0.2150011901,-14.5872798328,12.2235372934,-0.9813500285,56.8688319908,2316.3736236331,2241.2185063313
2.5732690182,0.2807985512,0.0609493337,-2.1778251088,18.4371285968,-0.8636353755,2.3299064234,1.0925644322,0.0182204514,-8.4879220771,16.8532959454,-1.0653103389,79.4387891825,5438.3155844276,5333.3334330449
2.4266455577,1.3252600050,-0.0591727349,-8.1014460862,15.5810399953,-0.8127495776,2.3365476252,1.4852751424,-0.0665412980,-8.9538896626,14.7230221404,-0.5765846788,18.2824820488,2546.7077337122,2522.5464879760
