r0 [AU],vr0 [km/s],vt0 [km/s],r1 [AU],t1 [AU],n1 [AU],vr1 [km/s],vt1 [km/s],vn1 [km/s],tof [days]
3.0,0.0,17.196077467085647,2.5377012699984296,1.329261410948249,0.0,-8.16521274016797,15.58825869002701,0.0,150.0
3.0,0.0,17.196077467085647,2.5377012699984296,1.3333430436013105,0.0,-8.182159907650211,15.57279477972278,0.0,150.0
3.0,0.0,17.196077467085647,2.5377012699984296,1.3374246762543716,0.0,-8.199051270699956,15.557319370470609,0.0,150.0
3.0,0.0,17.196077467085647,2.5377012699984296,1.3415063089074326,0.0,-8.21588687867031,15.541832660589998,0.0,150.0
3.0,0.0,17.196077467085647,2.5377012699984296,1.345587941560494,0.0,-8.232666781795444,15.526334847655836,0.0,150.0
3.0,0.0,17.196077467085647,2.5377012699984296,1.3496695742135554,0.0,-8.249391031183283,15.51082612849584,0.0,150.0
3.0,0.0,17.196077467085647,2.5377012699984296,1.3537512068666167,0.0,-8.266059678808192,15.495306699188172,0.0,150.0
3.0,0.0,17.196077467085647,2.5377012699984296,1.3578328395196777,0.0,-8.282672777503699,15.479776755059069,0.0,150.0
3.0,0.0,17.196077467085647,2.5377012699984296,1.3619144721727388,0.0,-8.299230380955187,15.464236490680488,0.0,150.0
3.0,0.0,17.196077467085647,2.5377012699984296,1.3659961048258,0.0,-8.315732543692626,15.44868609986791,0.0,150.0
3.0,0.0,17.196077467085647,2.5377012699984296,1.3700777374788613,0.0,-8.332179321083307,15.433125775678109,0.0,150.0
3.0,0.0,17.196077467085647,2.5377012699984296,1.3741593701319228,0.0,-8.348570769324587,15.417555710407042,0.0,150.0
3.0,0.0,17.196077467085647,2.5377012699984296,1.378241002784984,0.0,-8.364906945436632,15.401976095587756,0.0,150.0
3.0,0.0,17.196077467085647,2.5377012699984296,1.382322635438045,0.0,-8.381187907255196,15.38638712198839,0.0,150.0
3.0,0.0,17.196077467085647,2.5377012699984296,1.3864042680911062,0.0,-8.39741371342439,15.370788979610184,0.0,150.0
3.0,0.0,17.196077467085647,2.5377012699984296,1.3904859007441674,0.0,-8.413584423389477,15.355181857685611,0.0,150.0
3.0,0.0,17.196077467085647,2.5377012699984296,1.3945675333972287,0.0,-8.429700097389674,15.339565944676512,0.0,150.0
3.0,0.0,17.196077467085647,2.5377012699984296,1.3986491660502902,0.0,-8.445760796450958,15.323941428272295,0.0,150.0
3.0,0.0,17.196077467085647,2.5377012699984296,1.4027307987033513,0.0,-8.461766582378916,15.30830849538824,0.0,150.0
3.0,0.0,17.196077467085647,2.5377012699984296,1.4068124313564123,0.0,-8.47771751775157,15.292667332163768,0.0,150.0
3.0,0.0,17.196077467085647,2.5377012699984296,1.4108940640094736,0.0,-8.493613665912248,15.277018123960865,0.0,150.0
