r0 [AU],vr0 [km/s],vt0 [km/s],r1 [AU],t1 [AU],n1 [AU],vr1 [km/s],vt1 [km/s],vn1 [km/s],tof [days],m0_maximum [kg],m1_maximum [kg]
3.0,0.0,17.196077467085647,2.5377012699984296,1.329261410948249,0.0,-8.16521274016797,15.58825869002701,0.0,150.0,1127.32566625746,934.0098479645544
3.0,0.0,17.196077467085647,2.5377012699984296,1.3333430436013105,0.0,-8.182159907650211,15.57279477972278,0.0,150.0,1153.466635705487,960.1507205645268
3.0,0.0,17.196077467085647,2.5377012699984296,1.3374246762543716,0.0,-8.199051270699956,15.557319370470609,0.0,150.0,1180.6863376803249,987.3965478622248
3.0,0.0,17.196077467085647,2.5377012699984296,1.3415063089074326,0.0,-8.21588687867031,15.541832660589998,0.0,150.0,1209.0208235416246,1015.7874096603168
3.0,0.0,17.196077467085647,2.5377012699984296,1.345587941560494,0.0,-8.232666781795444,15.526334847655836,0.0,150.0,1238.5073201348916,1045.3633502711366
3.0,0.0,17.196077467085647,2.5377012699984296,1.3496695742135554,0.0,-8.249391031183283,15.51082612849584,0.0,150.0,1269.177579417747,1076.1600746453416
3.0,0.0,17.196077467085647,2.5377012699984296,1.3537512068666167,0.0,-8.266059678808192,15.495306699188172,0.0,150.0,1301.0573727761964,1108.2074936660872
3.0,0.0,17.196077467085647,2.5377012699984296,1.3578328395196777,0.0,-8.282672777503699,15.479776755059069,0.0,150.0,1334.1641898669918,1141.5271147170915
3.0,0.0,17.196077467085647,2.5377012699984296,1.3619144721727388,0.0,-8.299230380955187,15.464236490680488,0.0,150.0,1368.5072510222976,1176.1330058019566
3.0,0.0,17.196077467085647,2.5377012699984296,1.3659961048258,0.0,-8.315732543692626,15.44868609986791,0.0,150.0,1404.0744942994684,1212.0212524655387
3.0,0.0,17.196077467085647,2.5377012699984296,1.3700777374788613,0.0,-8.332179321083307,15.433125775678109,0.0,150.0,1440.8443958368432,1249.174916154176
3.0,0.0,17.196077467085647,2.5377012699984296,1.3741593701319228,0.0,-8.348570769324587,15.417555710407042,0.0,150.0,1478.767519722709,1287.5520994656
3.0,0.0,17.196077467085647,2.5377012699984296,1.378241002784984,0.0,-8.364906945436632,15.401976095587756,0.0,150.0,1517.7691460488152,1327.086718654528
3.0,0.0,17.196077467085647,2.5377012699984296,1.382322635438045,0.0,-8.381187907255196,15.38638712198839,0.0,150.0,1557.7302183306615,1367.676426271726
3.0,0.0,17.196077467085647,2.5377012699984296,1.3864042680911062,0.0,-8.39741371342439,15.370788979610184,0.0,150.0,1598.4966405727057,1409.18088113887
