r0 [AU],vr0 [km/s],vt0 [km/s],r1 [AU],t1 [AU],n1 [AU],vr1 [km/s],vt1 [km/s],vn1 [km/s],tof [days]
3.0,0.0,17.196077467085647,1.8299221150029483,2.0089980354034926,0.0,-13.357353403790972,12.166719907517397,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.017161300709615,0.0,-13.367034882950373,12.126265130964862,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.025324566015738,0.0,-13.37652180701046,12.08596068363565,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.03348783132186,0.0,-13.385816156162576,12.045806537038777,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.0416510966279824,0.0,-13.394919894996322,12.005802649155148,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.049814361934105,0.0,-13.403834972521308,11.965948964726389,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.0579776272402275,0.0,-13.412563322192106,11.926245415539563,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.06614089254635,0.0,-13.421106861936224,11.886691920707902,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.0743041578524726,0.0,-13.429467494185024,11.847288386947447,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.0824674231585947,0.0,-13.437647105907535,11.80803470884974,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.0906306884647172,0.0,-13.445647568646963,11.7689307691505,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.09879395377084,0.0,-13.453470738559906,11.729976438994388,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.1069572190769623,0.0,-13.461118456458118,11.691171578195814,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.1151204843830844,0.0,-13.46859254785278,11.652516035495886,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.1232837496892074,0.0,-13.47589482300114,11.614009648815466,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.13144701499533,0.0,-13.483027076955484,11.575652245504433,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.139610280301452,0.0,-13.489991089614318,11.537443642587087,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.1477735456075746,0.0,-13.496788625775704,11.499383647003848,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.1559368109136967,0.0,-13.503421435192651,11.46147205584916,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.1641000762198193,0.0,-13.509891252630515,11.42370865660573,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.172263341525942,0.0,-13.516199797926255,11.386093227375062,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.180426606832065,0.0,-13.522348776049611,11.348625537104391,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.1885898721381873,0.0,-13.528339877165944,11.31130534580997,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.196753137444309,0.0,-13.534174776700857,11.274132404796829,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.2049164027504315,0.0,-13.539855135406343,11.237106456874928,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.213079668056554,0.0,-13.54538259942861,11.200227236571912,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.2212429333626766,0.0,-13.550758800377254,11.163494470342307,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.229406198668799,0.0,-13.555985355395972,11.126907876773354,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.2375694639749213,0.0,-13.561063867234536,11.090467166787375,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.245732729281044,0.0,-13.565995924322158,11.054172043840872,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.2538959945871664,0.0,-13.570783100842018,11.01802220412025,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.262059259893289,0.0,-13.575426956806997,10.982017336734229,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.2702225251994115,0.0,-13.579929038136546,10.946157123903085,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.278385790505534,0.0,-13.584290876734595,10.910441241144609,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.2865490558116566,0.0,-13.588513990568506,10.87486935745694,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.2947123211177787,0.0,-13.592599883748928,10.839441135498229,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.302875586423901,0.0,-13.596550046610623,10.80415623176321,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.3110388517300233,0.0,-13.600365955794128,10.769014296756737,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.319202117036146,0.0,-13.60404907432818,10.73401497516421,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.327365382342269,0.0,-13.607600851712988,10.699157906019147,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.3355286476483914,0.0,-13.611022724004131,10.664442722867662,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.343691912954514,0.0,-13.614316113897194,10.629869053930124,0.0,250.0
3.0,0.0,17.196077467085647,1.8299221150029483,2.351855178260636,0.0,-13.61748243081298,10.595436522259888,0.0,250.0
