r0 [AU],vr0 [km/s],vt0 [km/s],r1 [AU],t1 [AU],n1 [AU],vr1 [km/s],vt1 [km/s],vn1 [km/s],tof [days],m0_maximum [kg],m1_maximum [kg]
2.8036497334887542,-9.02438757320949,525.2184893597056,2.7844852256371384,0.3172230622717487,0.0017136840029224319,-53.67154367104464,512.6226677211049,5.510663879745775,31.4869219585,2505.453066553,2463.8415062559
2.8499729838997254,36.809521376415006,459.4827847086131,2.6160151397096376,1.1628415279293116,0.036682144311846826,-216.36089298629312,462.9930387869876,20.897876496281327,130.2544008716,2750.0375240704,2577.9011815841
2.574668619775611,-26.835212754667655,556.6680256866861,2.540953909247854,0.32892046623262344,0.0012108681100037654,-87.88175776555926,559.341321790004,2.584424014921597,30.38923099,3810.7053974163,3770.5445393216
2.5603157370301184,41.25779544343909,568.7961515847602,2.5685896162516397,0.20357927252658806,0.0008752628722755068,4.811168747605489,562.631129479088,4.873601323974513,18.5477108038,3118.1075331536,3093.5957891797
2.8241843833634914,-11.986797658713197,510.2941458591635,2.6888297616927703,0.8111805699232054,-0.013045688475004364,-155.2727091385692,500.65850004066596,1.1017692503087173,82.5934431908,3245.0898305043,3135.938598788
2.6728000723467407,-28.524289596714645,552.6695938500649,2.4331405924983405,0.9888160892189233,-0.02940519733823437,-220.87752620182664,521.2181769221229,-19.466010619433135,93.9333813536,3545.3031126247,3421.1655373423
2.984129021330269,18.042286533263347,487.85008382799685,2.6698601947614558,1.4057351001155927,0.12600362597356884,-219.77417169434602,427.37333936108337,82.95217623237002,155.3185672628,2828.1810385484,2622.9198417187
2.8217426386648974,26.483494651577782,508.59299654719655,2.8251370000329934,0.2706249167338581,0.0005053868804790293,-18.157818163666093,500.2911991662204,4.492778930994768,27.6724409111,2745.4102735949,2708.8406845741
2.785874397068653,-8.379789743152246,547.680480239158,2.6890531471648504,0.7441153788915901,-0.02312408996232185,-135.8263925576713,553.2122875206225,-35.481879407831926,69.259691898,2492.3286096679,2400.7987077477
2.8280468163539147,38.84343564934656,527.1426791249193,2.7780939212254987,0.9173456316629585,-0.023198257239612514,-104.93822411767371,506.74201989474074,-18.51298730119505,89.7104114141,2751.2064015668,2632.6509210991
2.5986029081917468,29.580043651541036,525.7787387346307,2.560824252490263,0.5672153626485814,-0.006968890716202455,-103.69577921707345,523.4887238445641,-13.938520316525754,56.3601872603,2185.8246892501,2111.3657078994
2.9808978972861326,-6.066940952430475,508.3135242037118,2.980708498391888,0.01351378899860341,2.5620271050909004e-06,-8.185412303050901,508.6014558301089,0.19280193932420137,1.3706498186,5007.3728456488,5005.5614660665
2.7118073095844846,15.200985726281408,548.9739207391157,2.6611607693966572,0.5974229161427738,0.011705401854252288,-108.21329873195208,541.6448238967869,21.220477532583367,56.2605953265,3713.8068005804,3639.4555690794
2.5903338845420807,-11.361880011346674,562.5004838072174,2.5109172844921686,0.6165902040586826,0.020506264722915495,-132.29843767751612,550.7120696489982,37.263801047998214,56.8688319908,2316.3736236331,2241.2185063313
2.589261687752415,-5.517477899048549,553.5324378566133,2.434430277357919,0.8342912736194481,-0.0005104936756698499,-197.55821449240557,527.1216817173549,-2.711112050585285,79.4387891825,5438.3155844276,5333.3334330449
2.7655784487360497,11.175631738101206,523.5010277907516,2.763358997018751,0.1837684775538598,0.000999025367558723,-23.499310784132337,512.9641238195205,5.8171919939116306,18.2824820488,2546.7077337122,2522.546487976
2.8494733279640965,49.095486278402056,523.6897508501974,2.8657208031115533,0.3603530418938376,-0.0030035800959055167,-1.221055420924436,526.8490940010955,-8.880076200413598,35.3293050722,2903.4909037305,2856.801409551
2.8491727116336967,48.266706581433176,522.0131461744394,2.8334369151487735,0.738051469222985,0.017604780039201302,-71.95350711492104,503.5426966651541,25.779482688616344,73.6561398238,3780.8772032614,3683.5368916399
3.000359871017804,-14.979981794676105,486.4237428373889,2.9861374799643277,0.21742713259820454,-0.0013076220476493426,-47.94656844659489,477.77659816649725,-5.638367494909363,23.2472702669,3211.1529184955,3180.4304895601
2.7019110304785583,-39.12869025468313,529.0627933220054,2.6745638554750073,0.24398036378540885,-0.0025156473341548602,-80.2574298878462,534.7135345722656,-10.518658797131492,23.656899374,2327.6943231594,2296.4305683846
2.7997739671891684,26.74335827504736,527.8811057253874,2.800613927546426,0.017641848954509237,-1.5123812581326354e-05,23.54728865213961,528.371386769957,-0.9056297039557533,1.7227002433,2542.4267154104,2540.1500790775
2.5816505699780183,10.191235846039172,577.8932530269328,2.542554501640293,0.5098287385706909,0.003119986881825549,-98.49355352859753,569.7848300990681,-4.878585856507833,45.537385398,2733.6353403873,2673.4555573403
2.999300808848197,-36.42618735221815,491.3534457472051,2.8489858179789636,0.6865954628308196,0.0019364637394353238,-165.72419707639352,484.6233416702003,-11.455566229575352,72.0597199358,2758.3620246961,2663.1345946961
2.8967651478828076,-26.789290275136803,520.6430982657647,2.8597909203071983,0.3492462974237493,-0.0028338536074178186,-79.79838195452695,519.1896174686315,-1.2605744931590115,34.5767606346,2849.9835887027,2804.2887574536
2.778086121910493,-70.55555508082071,536.9675013390681,2.6934232274890313,0.3927060984783173,0.0026910416811492055,-156.83512911121952,540.8448074701508,4.4288432079767945,37.5535769031,2779.2820783569,2729.6542241248
2.984410605816861,-18.473095798242547,516.4337047522326,2.9483808359367227,0.3630281698689371,0.006010767071852822,-79.90575753368888,519.9401455448212,16.59545543995713,36.0099013069,2663.7346338037,2616.1465912351
