start_pos_x,start_pos_y,start_pos_z,rel_dist_x,rel_dist_y,rel_dist_z,tof,delta_v
-1929547.3660344929,3361045.0970996586,-5056665.286282225,-333083.393030871,858740.6934564523,-464266.13824382867,183.31570391337527,11173.05758270336
-328211.7313896337,-1646415.0399200525,-6145830.747401304,-217657.67648737677,-762831.6753725925,-51557.22377662797,155.48007794272388,11171.538882589814
-872571.9579046282,574369.2875816781,-6284772.00061875,13924.158270006481,45815.772255207274,524644.5733695193,118.71263489644146,11168.66006998555
1345951.52541491,5791519.246799546,2288309.4863203475,-554200.9887776447,588788.3915487073,-127754.71139489069,156.1078675042139,11171.578591250563
5586848.454313555,657387.8067063662,-2990753.5204573516,-941003.637668294,-331248.7523109662,305762.03040370764,63.17680613700527,11159.514157525284
2256301.6929193116,-4179612.0976187065,4246126.044286581,-648938.3839757236,363150.1881268,-576352.7324867881,33.55818419587142,11145.521806811721
-913518.666969344,-369898.59213168774,6294306.925836835,399384.15972918627,215355.5243746772,-209554.56499825665,22.360417212354598,11132.8675086355
-3842804.087462945,-4854649.038856505,1501625.9370787665,48092.536898627804,-925506.9601239887,105757.56410232895,135.28719571081237,11170.120016768904
-4420026.94064031,-2986167.4505664264,3483648.4899012805,-477226.7809788637,672073.3038551281,529501.2278284656,1.2564455571569821,10818.043561503982
-273793.75543674163,-82065.6217060054,6364585.077852119,-974194.9596592803,137878.934426358,500440.0810450693,31.889682746628402,11144.11483614044
133421.53011861656,-124983.0773645407,6368376.474869658,243627.07653984227,-829563.1838345748,-110891.86380464655,165.4842414021379,11172.13363751571
329968.9461480343,-1006589.5543251268,6282319.552816579,-485750.9942359945,388669.98809856246,-890369.902723207,117.18324204956399,11168.508281812094
1130033.4442928385,1553910.4648749307,-6074374.6741481,895507.2242170678,-913305.0374305585,-677725.3813252553,63.0774267806875,11159.486312162455
4885158.115786467,-3920818.957900343,-1162776.7985021404,-762009.5608717479,-646059.2024831098,724759.0966019768,145.23015107950744,11170.85948746432
-1281254.7931952262,-2705967.4432951775,-5623679.164989839,-911777.7576355406,30296.800287469505,675625.9814488213,71.95600280574021,11161.728533082593
2079697.0139574497,-4422961.83154725,4086797.03029312,12880.622225790672,-65583.5370168496,-597911.0633602054,43.48035770010594,11151.972636622851
-1557572.319408086,-6069815.814925986,-1149323.9067765474,378782.42913534056,331760.6854263664,-822662.26718548,2.227592824937119,10936.711367718535
-1839786.0633035067,-3804720.272050212,-4767486.95779279,-635177.7413927544,123463.47759340981,131239.83331622658,133.47596501616354,11169.97464448848
-1972530.7608032648,939349.1350294233,5984679.323088612,501615.23683637864,-634625.6940337595,-973681.5734652556,35.27346993499813,11146.856686191299
3694482.191548285,4871341.537994875,1791779.5502065246,-14982.959846871147,-531057.579564395,132349.52760593544,8.042177372067695,11080.564841762074
-624986.1017955376,3324691.78348622,5398653.342953374,-453978.4991714773,499252.09035076137,746390.1974546369,170.2891433550351,11172.398922086471
2655220.1697280854,1455087.177165912,5605547.980092267,-481255.32498297497,-273145.67870388774,-140069.29461063189,138.56769078206764,11170.373276941935
772653.6550311014,167295.82209048918,6321760.786147966,451196.2785525665,-716584.3905305489,278089.55737176497,125.41306245706474,11169.28870061257
-2808257.6911053723,-3620590.8654113947,-4426584.634415916,348041.43055854377,-856235.2977644278,-168003.0141391129,49.102254177207705,11154.640206677484
-676175.1899713513,1806421.4631971226,-6072007.049548606,-689435.3696488715,507396.3898240026,980827.3368085265,82.09542905691025,11163.785305903612
1911880.4396009925,946310.8393138153,6003236.625360381,274396.8565957195,385324.1675476844,-236814.81095762335,152.38053739576574,11171.341989620114
2754154.1618688162,932617.5477849578,-5668730.0484521445,-116270.66700187139,554631.2158900952,-525621.6325141651,85.43459048676006,11164.372245676126
14657.514282273585,-191859.43616289474,-6368093.601230303,733501.9135390966,-64776.36135551057,545437.9128732192,132.76589868871125,11169.917653028231
-844848.1073701603,2147910.5856769946,-5938211.2450981205,641944.7620354833,-328309.59450699296,364122.1141804378,148.3414035729994,11171.073951420218
-414924.2179057826,3340303.2364311656,-5409237.763500765,-557522.473885508,69638.10362081113,363979.3947810015,135.1589192375634,11170.109800581058
103832.60092266707,58733.868740235805,6369883.054157936,234813.936941908,190630.0246597883,8381.758015582718,13.239888904423292,11110.548889038215
5045232.043343616,-3840294.9729006207,622422.0030919773,628694.2047135904,960875.527846864,81517.06696838334,147.79623421127198,11171.037458547113
-1898245.5964352414,-5985203.362277236,-1078723.953474426,-695373.026174606,812131.6969639006,994488.3412569436,112.63900376944302,11168.036979400806
1198827.2714607087,1246539.933147218,6131769.105916448,-356493.41092344146,711793.815205926,840382.921344402,153.86368328710776,11171.437335219032
-877159.8748791082,966833.919243388,-6235821.014630114,633017.1973894921,895333.4119386864,311363.4486015382,33.37067174775932,11145.369722874171
2616157.82672633,1375965.4343393529,-5643764.554724256,802945.0140292469,-813374.0285268425,794917.2564741038,84.34425305010696,11164.183544408748
3478843.0727113443,1892521.884028656,-4990556.361160639,-324917.6453166258,155686.3261295529,407202.80776585115,27.196202237529832,11139.408174376415
-2482605.5538220513,-5124336.374080856,-2857881.626205634,642466.7022519166,420427.12467421795,-368819.77225335815,86.02196630256753,11164.471357453956
-949378.8560551923,2294779.8597663674,-5867052.597589865,-693430.0827084642,-122885.65660971384,15964.360947435363,89.15679720667092,11164.982715035103
5061493.352488058,-3379764.921242684,-1883644.1064746352,-741422.9763991147,318360.15629553184,613365.0150530142,145.8834084409577,11170.905138333714
135175.6682656907,-764557.9574929823,6323513.237777168,377630.1914222231,-310525.6652805615,262267.4658741593,142.98006688228693,11170.700094438263
2283103.5106259063,678718.528494335,5909011.8056106595,-160069.24713739412,-665795.2772271143,132157.29089051197,109.04095296069238,11167.640591241163
988652.0730659687,1531392.929952167,-6104673.928435071,-182444.0361794597,850944.1455501609,355085.3853758908,42.33035991883982,11151.360157641924
-1112691.9022874893,-1926712.7062843847,-5969869.00007246,-617027.1051232275,306480.8529977985,-277603.7519957828,171.76545238455242,11172.477310558244
-1325186.430621029,-6225785.942545013,270391.0533039407,398467.40429283003,-250081.0560717106,180220.41126798527,95.66436216548169,11165.95402055922
500859.6118092863,-2381305.3674630225,5887967.849449422,910006.6746267813,989148.0292556642,101152.41366276772,150.16395095778844,11171.196677871656
842114.1089152397,-1611673.3428721584,6105980.172211598,-422715.25442710024,403414.2978548458,-160943.23375507712,109.99550535842883,11167.747824251075
350813.5998168651,-1268327.6746273944,-6233611.7723160945,-357896.15106578456,-403137.58951520565,-491565.53324366483,34.3092288432173,11146.117614011418
-2440651.1749980953,-5747936.747043686,1262571.1837220367,20834.9031570243,714436.0776672773,-675205.3037464967,89.36843559001939,11165.014905314156
-982013.4270580927,-2558604.5020722616,-5751420.140369957,199263.8111668501,-916661.8246414253,-903760.2246019659,151.64487117581683,11171.29424142897
3704146.4698527707,-3443671.644953155,3874282.5828303862,-787491.7138163624,-557443.7612290258,596192.7633530211,78.16873963105786,11163.040870618686
-4767047.991933705,-3630569.074743514,-2164223.333234548,847870.0401643213,89809.13022095471,967650.5429357019,8.981559653285952,11088.146835039568
845044.7579580576,5426283.986164317,3229703.153316772,-890101.3848546861,-766510.0006577501,-670814.8710730008,156.43988687339473,11171.599116155383
382231.50813242997,-512716.24095094996,6338821.825107244,729104.338051896,-367477.2691353048,716947.17530684,54.699317712192055,11156.829737726895
-2199245.434518824,-1558187.7089045148,5772781.96215369,582716.2215918665,82904.37831659635,303272.0498307975,122.8328541900593,11169.054155936257
5091053.580908907,-3586058.4062956995,1345733.8306480036,565382.7483793821,-95085.72196857524,-514670.03183835634,87.268106427696,11164.67840319347
-1311139.2678087372,1295577.3271864909,6098527.21644253,-419634.4613615564,-141454.53413930497,210139.23949142033,155.5384041019554,11171.543050737457
756574.6120479531,-6317629.824677715,-323711.6846008221,-65009.17784453186,758815.7683377055,998619.5233520049,112.29162293925931,11168.000354703094
-1119615.9724239004,2143328.4970061076,-5894255.171623877,-165126.17992183287,-759027.6598578934,708986.8394668688,132.2815235759286,11169.878031376129
1449758.230691703,-3009278.5927435826,5425134.507438214,-845600.9570238072,734031.654503256,955070.233836325,175.4643553672336,11172.670097757044
78961.9926960398,-23393.505852255304,6370467.702421338,773438.6170071567,182872.30602843873,-998025.3284482344,78.00979672986652,11163.010804603773
-4452914.352221145,-1571111.927761189,4277008.5436236225,199814.64747685872,-333472.09092592454,526342.8465015676,51.51740869822996,11155.633505765174
