x0 [AU],y0 [AU],z0 [AU],vx0 [km/s],vy0 [km/s],vz0 [km/s],x1 [AU],y1 [AU],z1 [AU],vx1 [km/s],vy1 [km/s],vz1 [km/s],r0 [AU],t0 [AU],n0 [AU],vr0 [km/s],vt0 [km/s],vn0 [km/s],r1 [AU],t1 [AU],n1 [AU],vr1 [km/s],vt1 [km/s],vn1 [km/s],tof [days],Δv_lambert [km/s],Δv_lowthrust_maximum [km/s],m0_maximum [kg],m1_maximum [kg]
0.6541647394776392,2.7681674260267344,-0.1403578559044467,-0.5647669442615882,0.14160813096475006,0.048819090454263726,-1.1355907970702184,2.69126506222202,0.022274343289130222,-0.5314623310816393,-0.19244100749999007,0.06849632003320658,2.8478733701843946,1.0421890726390067e-18,-4.573832793162327e-17,0.005510164791597766,0.5842666392689666,7.835707727287542e-18,2.353995972309809,1.7296309583976857,-0.007067531247442093,-0.3125092750549578,0.47575376084762205,0.013183650040908669,176.1394410173235,1.6816036593407642,3.0014383175776684,3156.689023549039,2924.1630941097255
-1.1355907970702184,2.69126506222202,0.022274343289130222,-0.5314623310816393,-0.19244100749999007,0.06849632003320658,-2.5342199393291236,1.4662294085855745,0.23452895466467913,-0.27380773134479475,-0.49517628430163124,-0.0012732035370953446,2.921124824429184,1.0392558144363772e-16,-1.192021874149038e-18,0.029830865822639344,0.568583868948728,-4.5504418032192585e-18,2.337822999797594,1.7781103424479923,0.003231372383681054,-0.3497780871696901,0.44172496856668575,-0.05202104580718513,200.2857215936455,1.9515332485033707,3.8178574536336924,2850.5672457719056,2586.2002911876184
-2.5342199393291236,1.4662294085855745,0.23452895466467913,-0.27380773134479475,-0.49517628430163124,-0.0012732035370953446,-2.840603773916914,0.12613693818559035,0.2157496590836907,-0.004792543904127444,-0.5843208662880478,-0.00842135859742852,2.9371930835528364,2.0908341366371586e-16,7.656795590383275e-18,-0.01104851480043294,0.5657294208779535,-2.960606174851195e-18,2.5310763516071315,1.3133649559383684,0.01460266443901287,-0.2882269248994939,0.5081586762695913,0.014992065642611282,145.03247857752294,1.5747456126669919,3.0900521957866847,2526.7819900235404,2335.3742212960856
-2.840603773916914,0.12613693818559035,0.2157496590836907,-0.004792543904127444,-0.5843208662880478,-0.00842135859742852,-2.4142601647205053,-1.3288715766295425,0.2435476823946215,0.3172814679368262,-0.5112080603373301,0.0060878704657154935,2.8515764487315742,-3.528335302859021e-18,7.7112309029177e-18,-0.021709967468960322,0.5839978080864779,-8.544578174722938e-19,2.3646155710295016,1.433811140790761,0.08152360099429783,-0.3382128152915087,0.49622633841105934,0.03754711249290218,146.11727562263687,1.8210919001075707,3.152418253560887,2497.2569517453803,2304.419060299751
-2.4142601647205053,-1.3288715766295425,0.2435476823946215,0.3172814679368262,-0.5112080603373301,0.0060878704657154935,-1.5572097148038468,-2.2022196952409607,0.2162864324676098,0.5065523189713541,-0.3426665774808508,-0.05050419544085934,2.7665623585471484,-3.6305718993531184e-17,2.4013572557240048e-17,-0.030791809521987373,0.60090776121063,-7.485726841626303e-19,2.435749398385462,1.178278224462641,-0.015453054010854606,-0.2818983592780792,0.5440201929237428,-0.0337883657841806,115.9811855958688,1.2808718735474747,2.0972773782305123,2940.7481524003665,2787.648277074686
-1.5572097148038468,-2.2022196952409607,0.2162864324676098,0.5065523189713541,-0.3426665774808508,-0.05050419544085934,0.9154163501600263,-2.5460111679143407,-0.03568387684142093,0.5789625886430095,0.2079596412374354,-0.027070571539884767,2.705818453417789,3.2079453096433365e-16,6.864422046060996e-17,-0.01666944008347833,0.6134235394098667,-1.2168830489797385e-17,1.5424770132062717,2.2230213452337284,0.01934070104129416,-0.5046140404984522,0.3504423183482329,0.041624018521230814,236.4325051172346,2.1436319723738606,3.8802201792206943,3314.1032936734596,3001.970786245268
2.638302431809565,-0.08677923314550606,-0.023490831936129136,0.048680706411022526,0.628288080204559,0.004181016172427762,1.4330893448853441,2.4838956732010846,0.020285426603122297,-0.4968245887075334,0.3037719373976392,0.011690692657894151,2.6398337402538514,1.1564877452023155e-17,4.017645930874607e-18,0.027961553653173463,0.6295644171308773,4.195100925952879e-19,1.350424447559207,2.5298295937898585,0.014502486783114572,-0.5066263151543021,0.2873184194870029,0.0051610857589009995,282.06810689774284,1.3347384457325504,2.9745324431652134,5101.11541034824,4728.602714997299
1.98497586050909,1.9588963997346847,-0.248360673124368,-0.3955520158544893,0.4438190802471011,0.003158071441524279,0.9721927767936991,2.6475970743665673,-0.1588895695188098,-0.5431998137668197,0.21700323661192472,0.05697842623882378,2.7998370123369862,2.4559991974992745e-16,-7.98168588891134e-18,0.029805325905056444,0.5937662748934601,-3.617025207659279e-18,2.555723586597989,1.202199176510657,0.05629429500342816,-0.2383363232160253,0.5363349274380607,0.030718497340986313,122.73137729093945,1.1893112486416522,2.2102635524555696,2957.066967165401,2795.055178085812
0.9721927767936991,2.6475970743665673,-0.1588895695188098,-0.5431998137668197,0.21700323661192472,0.05697842623882378,-0.05432515798868308,2.8504601687279485,-0.07638973278193624,-0.5807995956141784,-0.008437917302260206,0.054608656370741256,2.824920345557751,-1.0010513636223961e-16,1.798971744775795e-17,0.01323538963633867,0.5875608971793357,-1.3900846670480997e-18,2.657134393431236,1.0357185532651338,-0.02887353869460966,-0.21086121016596535,0.5438781306201064,-0.010751890305137651,104.28437546944802,0.8965151203921269,1.6514601048577306,3339.5412350227934,3201.863316249481
-0.05432515798868308,2.8504601687279485,-0.07638973278193624,-0.5807995956141784,-0.008437917302260206,0.054608656370741256,-1.5134978896278235,2.520945707105447,0.07231909621223735,-0.4926737264232266,-0.26880547887170475,0.06711309977614359,2.852001014650864,5.4323374110606285e-18,4.490938529101635e-18,0.001167090028913034,0.5834210417575587,1.8875279897744664e-18,2.546475917735164,1.471912480724687,0.0026872364924469456,-0.2610733588690672,0.5011518112446753,0.013248309920969389,152.9307534204268,1.5177367925360556,2.8744583673510387,2856.9514138535646,2655.0854057957554
