rel_dist_x,rel_dist_y,tof,v0_x,v0_y,vf_x,vf_y
-0.38085282413689053,0.9298255618114932,64.24427815136143,3.980432,30.0472655,-21.1755075,16.3855647
-0.7247428002622673,0.97649169613407,76.34916150705416,0.6616528,30.1104729,-28.2613289,7.8740253
-0.4294531866516091,0.8402484787343447,58.8065642244335,1.3424589,29.5120744,-24.1366517,15.8057742
-0.303265181211773,0.7899758043527025,62.42242591721498,5.7936111,26.1054953,-20.3494643,14.1279953
-0.7286862921310864,0.8339656183493492,72.44914681656363,0.0861799,27.563769,-31.1705784,4.4556222
-0.42287860903885705,0.8574122419587741,65.52685401324601,3.8148786,27.7937159,-23.308562,13.1349981
-0.7157722701865501,1.1066172149612863,65.87655407392465,-4.0192967,36.3501869,-28.1104305,17.4080214
-0.48906186842041055,0.8479050692913466,67.72810119605931,3.1926051,27.3047092,-25.3041325,10.9497035
-0.2075669849625359,0.7477484829681095,67.23238901841617,9.3080728,23.1040024,-17.7404524,12.2015305
-0.6419424377552541,0.9191518185975786,55.277131215690176,-6.2423603,34.7369538,-30.5518605,17.8528084
-0.07312163005802919,0.8603436016127254,65.30887783856744,11.350692,26.3547504,-12.1223173,17.0250646
-0.4154163819080747,0.8937279253813497,61.903248041175836,2.5679978,29.9731492,-22.7934258,16.0547978
-0.3202896626831928,0.9741595154482156,74.99859189531676,8.0040627,27.7875835,-18.7913248,13.6254881
-0.5736075856000028,1.002456327880961,58.80893402177313,-3.1228307,35.3483818,-26.7122737,19.5222534
-0.6713575032960224,0.9025769391278468,54.66942316347257,-7.2961881,34.6727685,-31.8512192,17.1998607
-0.2862590650141158,0.7623691422993456,70.86259613981399,8.5780333,23.0289015,-20.2804255,10.3258649
-0.11467890271627904,0.938811483986687,51.594567278797285,7.0915681,34.7269281,-11.944443,26.412937
-0.22021085536055354,0.8323281115093493,62.39323485204249,7.504464,27.0222885,-17.0601295,16.2282858
-0.7037016469230954,1.067094210352799,66.86260879114867,-3.0888009,34.8840991,-28.0715596,15.6237422
-0.3347762026463014,0.8931993443171594,69.9580226645464,6.8079851,27.0671329,-20.1167147,13.3571341
-0.11667142962712432,0.8495577106711893,63.19520554018807,9.9955437,26.8673429,-13.4687376,17.293502
-0.5708100947573547,0.9363898279941869,58.836707810249955,-2.6835549,33.3130522,-27.4281245,17.1921413
-0.6324505345797338,0.8863885248902096,60.88148533757588,-2.9897651,31.4511594,-29.6195406,13.3732573
-0.4596972327368827,0.9017957190534089,77.79762627533977,6.5109544,26.1319781,-23.2951111,8.9907407
-0.486087564180258,0.9241832771525558,57.782071586034704,-0.9187577,32.8646388,-25.0537313,18.458695
-0.2757090278879015,1.0290652441606243,56.24658020596636,3.5813057,35.8866242,-17.0996963,25.0186011
-0.28700381602409525,0.939962608227748,77.34969559941094,9.309713,26.1990526,-18.3135022,12.2983314
-0.14753617476629757,0.8976470169610055,59.29149718984387,8.2221131,29.8506074,-13.8587212,20.2482434
-0.7079098072041702,0.9588538932858461,69.82119662131502,-1.3189216,31.2104708,-29.0617879,10.3377399
-0.060096288268758756,0.844482652521976,63.60532939982323,11.3766629,26.3821408,-11.6626555,17.4422874
-0.15635851818632193,0.8569273330690074,48.64270961495645,5.2651144,33.5679613,-14.0398733,25.377263
-0.5227710471171846,0.8842239424223162,58.69968936977185,-1.2485544,31.4660306,-26.6355842,16.081874
-0.4325277504278414,0.984525417588475,61.38607061448535,1.5415403,32.9549183,-22.3113146,18.9812716
-0.346466346367496,1.0003721171059374,64.02297468729269,4.3771188,31.9773296,-19.3834504,18.9490862
-0.5831727519258828,0.8507251586252477,56.01959465104983,-3.8749312,31.8336193,-29.4781312,15.60157
