start_pos_x,start_pos_y,start_pos_z,rel_dist_x,rel_dist_y,rel_dist_z,tof,delta_v
711000.27,560594.71,1063.28,-539492.2,81959.44,250434.19,9.89,29638.25
-187616.44,299813.01,78945.38,-358109.58,236230.73,4650.87,913.02,46903.2
-506978.61,729471.83,-28700.38,-261101.14,101719.69,890628.37,18.67,29926.43
696549.26,-839610.4,-126265.13,-639922.58,-59966.93,-868061.79,13.32,26911.5
982085.79,-914834.93,-988825.75,418391.33,-441248.7,-540308.54,9.25,21818.75
-542675.3,-568013.96,-875891.14,-937385.37,349344.76,-213761.44,1.65,25899.9
302471.88,-537168.41,-111962.03,454267.86,815659.2,344781.12,5.67,35628.42
-990996.32,-508885.59,-42175.3,-145719.15,937491.12,-886909.89,23.62,26719.84
-971853.84,-765224.87,601786.76,867081.96,-116112.11,-712328.44,2.03,23950.99
-816507.21,-393827.02,-152731.55,-173452.3,-604908.28,583787.57,16.73,29423.48
-674934.04,278460.27,-724985.7,938504.32,747703.95,-293001.02,2.86,27750.93
-525197.73,838942.69,-743590.31,-578482.28,714539.33,-881807.1,33.07,25358.22
-930800,-400421.98,-169577.47,-810870.88,-592838.65,-34507.96,3.92,27787.95
721274.92,796592.26,210896.34,-4563.29,61962.04,635011.59,16.59,26953.87
287031.59,-97362.88,429992.09,853624.1,466474.59,273778.82,14.06,38906.84
-809547.81,956372.48,-453920.79,325008.02,-417938.43,827713.3,6.79,24404.04
427114.38,509750.52,504120.69,680941.5,88845.87,-486010.41,6.77,30865.06
291819.63,376292.32,-154721.9,-765286.8,-140543.3,135325.62,964.87,39902.5
175649.61,30385.48,361401.26,295925.17,292296.34,-125503.61,987.92,44478.23
-556429.06,295884.11,966074.45,-211116.1,-184172.96,-625876.37,14.81,26259.79
-408783.97,-655426.67,139506.79,-601498.11,-307638.55,-95722.49,9.31,31835.06
479260.7,-378514.73,-341003.35,-811742.73,-471228.78,-647521.79,5.41,33714.58
469755.64,692926.39,-129680.49,-703311.04,941053.18,-542729.68,16.7,30653.12
-345908.91,361955.03,692777.44,290731.76,727805.26,163649.93,0.44,30272.42
322085.81,-267144.71,189185.92,-39945.19,-104231.78,-141971.96,594.32,41664.74
-199010.28,759002.09,876541.9,-820164.71,888423.77,763116.53,11.68,25996.24
-993512.14,4143.69,-465020.71,662729.08,94460.82,-958627.75,16.79,26931.31
-149544.03,305281.07,-601785.92,19181.11,511945.33,751916.47,5.47,33917.25
-49466.12,-669503.18,-544658.47,265946.86,-959129.73,-197735.61,6.04,30320.36
850597.05,800472.74,700336.57,322490.39,708821.52,-435329.31,20.14,24167.94
-451832.49,902799.71,564578.07,-554234.73,584750.83,-554146.18,8.97,26211.04
803239.39,-391953.6,811815.3,678374.91,351033.73,577568.36,15.13,25665.32
-569096.72,-479173.55,910190.82,537320.88,527841.44,862478.53,23.1,26018.96
-302412.57,318532.24,-562296.47,-170717.35,-89644.2,-975111.35,17.34,33404.93
-350385.9,794773.73,806802.91,-227612.9,-193723.18,715580.4,6.46,25879.52
-975495.73,739597.71,183786.02,-936148.25,-707314.12,-809638.24,10.33,25337.91
-371668.45,-850568.77,-695662.65,598856.87,-927945.19,516129.64,1.03,26038.88
-621426.46,-633915.01,-322565.71,-496013.77,583742.26,114004.33,1.84,28944.1
-244378.55,328476.23,341676.8,-231781.55,-136065.46,152071.15,855.13,38665.07
718869.26,651432.44,-41170.52,-806088.66,896152.37,915793.02,16.28,28627.69
616567.83,348217.18,-94423.66,-301091.18,-36728.11,-167084.36,808.84,33406.04
248939.12,-256198.39,-735852.08,783868.18,-560349.56,556245.33,16.24,31195.01
-112993.08,279666.75,256835.46,-936540.91,-646841.66,760007.66,13.57,44840.21
205373.57,-249800.22,-796443.28,-832656.43,-177540.47,838014.61,12.34,30424.5
916105.2,-245073.46,-242281.92,-78886.18,-948453,-412748.89,2.19,28440.9
-632600.01,-676539.96,280468.7,642814.34,83192.02,-643259.57,11.43,28668.85
878690.96,626674.69,-710486.85,-563700.2,-42848.12,-405969.61,7.15,24787.55
291256.5,206837.38,-81785.04,-21373.09,-490771.61,-389822.64,803.15,46640.79
-787106.87,-590469.71,35885.93,-657913.84,-470991.36,83195.79,18.73,28430.86
-85150.77,-438114.63,-36081.71,-457541.94,209970.81,-137488.4,975.56,42194.76
-130464.69,346316.16,55090.2,384616.21,766072.98,259756.18,6.83,46130.88
-680048.6,256367.24,-335901.47,-890201.65,190181.49,-447952.26,18.66,31533.58
236038.27,608097.77,-638767.07,770050.71,854530.47,-468135.88,22.14,29529.56
199225.47,-12676.54,236786.93,-97030.64,-198936.62,-47.06,787.28,50735.05
227735.92,-545366.43,606012.91,-936731.99,-404483.88,-595720.36,3.83,30625.5
-329493.41,100028.11,-648354.55,488032.64,453536.87,398888.62,8.51,32918.99
-280612.47,-22215.55,-186258.9,46690.19,-4410.7,-468323.16,739.47,48598.93
889878.76,-211287.76,-708919.4,105922.98,423763.57,-408962.9,4.56,26181.67
157685.37,-720963.8,-679926.71,643333.72,-970784.01,-637040.67,31.29,28169.01
-832175.84,569104.35,476230.75,-938286.18,757942.87,669288.41,36,26723.07
-329604.75,828933.92,-688178.27,-524152.98,138763.96,890373.88,21.24,26577.23
-791867.67,469592.19,-819723.14,-831269.7,-951325.13,-659721.07,9.65,25389.68
505420.59,46471.84,745982.65,-195350.24,705508.24,-40986.23,5.6,29674.1
-289841.15,-570554.51,316572.43,970105.4,-50876.79,-727685.92,7.9,33379.48
197607.99,334503.08,-726675.82,-642029.81,714110.31,981401.46,8.36,31067.18
875328.38,-369638.26,463413.01,-939463.92,952600.81,-215311.55,3.61,27387.72
-746738.13,-877414.3,-470686.66,639383.35,-316999.78,-790745.55,13.46,25275.73
112496.08,-584841.17,233686.17,-186101.24,224635.87,-180539.95,763,35300.04
-424396.89,200749.09,800680.23,-990578.65,-742006.34,764432.1,31.78,29290.85
-890411.19,-810022.79,-616180.94,634872.58,595089.47,282077.05,1.92,24154.09
