r0 [AU],vr0 [km/s],vt0 [km/s],r1 [AU],t1 [AU],n1 [AU],vr1 [km/s],vt1 [km/s],vn1 [km/s],tof [days],m0_maximum [kg],m1_maximum [kg]
2.929988603,23.62427824,499.9246743,2.931551555,0.03919623,8.23E-05,16.21762415,499.215955,2.096783657,4.046176194,2830.414529,2825.067316
2.932704087,22.50843681,498.4795681,2.934178847,0.039082735,8.23E-05,15.08480974,497.7675882,2.098942372,4.046176194,2822.39371,2817.046499
2.935282816,21.29903337,497.0531943,2.936661758,0.038970491,8.23E-05,13.85091195,496.3321503,2.09795065,4.046176194,2814.372895,2809.025689
2.937713187,19.98514368,495.6378586,2.938987658,0.03885875,8.21E-05,12.50038698,494.8980114,2.091339191,4.046176194,2806.352087,2801.004888
2.939981874,18.54754232,494.2194931,2.941141359,0.03874611,8.14E-05,11.00443716,493.4430016,2.073316696,4.046176194,2798.33129,2792.984102
2.942072374,16.94938208,492.77047,2.943102626,0.038629704,7.98E-05,9.302868034,491.9200434,2.027007351,4.046176194,2790.310511,2784.963343
2.943961617,15.10917615,491.2289887,2.94483944,0.038502626,7.47E-05,7.241421764,490.2090368,1.881362578,4.046176194,2782.289767,2776.942647
2.945609937,12.79822933,489.4246731,2.94628478,0.03834513,4.81E-05,4.332344911,487.9724097,1.070826837,4.046176194,2774.269117,2768.922193
2.946929379,9.457371562,487.0683349,2.947341485,0.038173933,-5.94E-05,1.145081432,486.1178653,-1.642003088,4.046176194,2766.248781,2760.901788
2.94786538,6.664945743,485.8228885,2.948089728,0.038108677,-8.63E-05,-0.913212052,485.6265584,-2.210087547,4.046176194,2758.228227,2752.881076
2.948535216,4.791279506,485.5748093,2.948623346,0.038099578,-8.86E-05,-2.531034215,485.6246594,-2.260673941,4.046176194,2750.207496,2744.860324
2.949006785,3.256680265,485.6850354,2.948979662,0.038113132,-8.90E-05,-3.940555356,485.8544577,-2.268034374,4.046176194,2742.18673,2736.839533
2.94930912,1.902363155,485.9869339,2.949178766,0.038139733,-8.90E-05,-5.220610516,486.2281949,-2.26884949,4.046176194,2734.165932,2728.818726
2.949459376,0.666552915,486.4144708,2.949234104,0.038175282,-8.90E-05,-6.405879189,486.7056452,-2.268792707,4.046176194,2726.145122,2720.797911
2.949469697,-0.47840199,486.9361896,2.949156113,0.038217744,-8.90E-05,-7.512939099,487.2656492,-2.268899551,4.046176194,2718.124304,2712.77709
2.949349885,-1.546309308,487.5345923,2.948953728,0.03826594,-8.90E-05,-8.550486524,487.8953921,-2.269329525,4.046176194,2710.103482,2704.756266
2.949108536,-2.544550155,488.198691,2.948635076,0.038319108,-8.90E-05,-9.52318419,488.5863304,-2.270051017,4.046176194,2702.082657,2696.735439
2.948753593,-3.477127732,488.9209276,2.948207847,0.038376711,-8.91E-05,-10.43351711,489.3322525,-2.271010604,4.046176194,2694.061829,2688.71461
2.948292643,-4.346208353,489.695644,2.947679498,0.038438337,-8.91E-05,-11.28275892,490.1282881,-2.272167008,4.046176194,2686.041,2680.693779
2.947733088,-5.152911088,490.5183045,2.947057364,0.038503651,-8.92E-05,-12.07143507,490.9704144,-2.273484737,4.046176194,2678.020168,2672.672946
2.947082238,-5.897675144,491.3851091,2.94634874,0.038572369,-8.92E-05,-12.79953898,491.8551982,-2.274928361,4.046176194,2669.999335,2664.652113
2.946347382,-6.580442498,492.2927768,2.945560933,0.038644244,-8.93E-05,-13.46666429,492.7796257,-2.276464478,4.046176194,2661.978501,2656.631278
2.945535839,-7.200782326,493.238395,2.944701307,0.038719057,-8.93E-05,-14.07210783,493.7409766,-2.278064461,4.046176194,2653.957666,2648.610443
2.944654995,-7.757989842,494.2193052,2.943777311,0.038796603,-8.94E-05,-14.61495061,494.7367303,-2.279705082,4.046176194,2645.93683,2640.589606
2.943712332,-8.25116258,495.2330201,2.942796507,0.038876692,-8.95E-05,-15.09411834,495.7644975,-2.281367788,4.046176194,2637.915994,2632.568769
2.942715447,-8.679256642,496.2771632,2.941766577,0.03895914,-8.95E-05,-15.50842536,496.8219721,-2.283037643,4.046176194,2629.895156,2624.547931
2.941672066,-9.041127494,497.3494261,2.940695342,0.039043767,-8.96E-05,-15.85660665,497.9068954,-2.284702395,4.046176194,2621.874318,2616.527092
2.940590052,-9.335559806,498.4475368,2.939590766,0.039130398,-8.97E-05,-16.13734155,499.0170307,-2.286351745,4.046176194,2613.853479,2608.506253
2.939477418,-9.561289816,499.5692366,2.938460962,0.039218855,-8.97E-05,-16.34927193,500.150143,-2.287976819,4.046176194,2605.832639,2600.485413
