r0 [AU],t0 [AU],n0 [AU],vr0 [km/s],vt0 [km/s],vn0 [km/s],r1 [AU],t1 [AU],n1 [AU],vr1 [km/s],vt1 [km/s],vn1 [km/s],tof [days],m0_maximum [kg],m1_maximum [kg]
2.847873370184394,-0.0,-0.0,0.16411856026454105,17.4022017986908,0.0,2.3539959723098085,1.7296309583976859,-0.007067531247442028,-9.307992452338876,14.170179155043453,0.3926709536972121,176.1394410173235,3156.689023549039,2924.1630941097255
2.921124824429184,0.0,-0.0,0.8885031456267387,16.935095317621165,0.0,2.3378229997975937,1.7781103424479925,0.0032313723836812904,-10.41803253614298,13.156642063520449,-1.5494308181761969,200.2857215936455,2850.5672457719056,2586.2002911876184
2.9371930835528364,0.0,-0.0,-0.3290766085387353,16.850076461481006,-0.0,2.5310763516071315,1.313364955938368,0.01460266443901275,-8.584750135987278,15.135349574748036,0.44653405509917776,145.03247857752294,2526.7819900235404,2335.3742212960856
2.8515764487315747,0.0,-0.0,-0.6466246907585975,17.394194744765386,0.0,2.3646155710295025,1.433811140790761,0.08152360099429776,-10.0735644772912,14.77994856878928,1.1183291748047814,146.11727562263687,2497.2569517453803,2304.419060299751
2.7665623585471484,0.0,-0.0,-0.917124557580289,17.897852487471845,-0.0,2.4357493983854615,1.1782782244626409,-0.015453054010854426,-8.396255759211101,16.20347379694133,-1.0063760624087368,115.9811855958688,2940.7481524003665,2787.648277074686
2.7058184534177885,-0.0,-0.0,-0.4964941359082699,18.27063108418119,-0.0,1.542477013206272,2.2230213452337284,0.019340701041294064,-15.029773690645872,10.437816457101482,1.2397585644889948,236.4325051172346,3314.1032936734596,3001.970786245268
2.6398337402538514,0.0,0.0,0.8328262587202792,18.751382153009054,0.0,1.3504244475592069,2.5298295937898585,0.014502486783114707,-15.089708671152898,8.55769058224799,0.15372134885044883,282.06810689774284,5101.11541034824,4728.602714997299
2.7998370123369862,-0.0,-0.0,0.8877424470521036,17.685145518288262,0.0,2.5557235865979893,1.2021991765106568,0.05629429500342833,-7.098773939502531,15.97457053279863,0.9149409768615968,122.73137729093943,2957.066967165401,2795.055178085812
2.824920345557751,0.0,-0.0,0.3942120016026371,17.500320255368226,0.0,2.657134393431236,1.0357185532651343,-0.028873538694609475,-6.280436164240851,16.199242515006492,-0.32024173935636574,104.28437546944802,3339.5412350227934,3201.863316249481
2.852001014650863,0.0,0.0,0.03476141685206625,17.377015937399104,0.0,2.5464759177351635,1.4719124807246868,0.0026872364924469994,-7.775989539615057,14.92665225926834,0.39459682829875337,152.9307534204268,2856.9514138535646,2655.0854057957554
2.9412706729844187,0.0,0.0,0.7379178161317237,16.819100598511866,0.0,1.6781869204449247,2.240702536297026,-0.17925734249262773,-14.430813457470471,10.214564723161168,-0.7484146904962098,279.02653094474266,3120.3963147754466,2752.0619291837775
2.8052080833617072,0.0,0.0,-0.4262223868314791,17.690793327430903,0.0,2.241682001776621,1.6735059097006924,-0.006860495454324382,-11.453741817358388,13.501020417685577,-0.8600280691754201,183.3650161115078,2511.317881546522,2269.3239991772543
2.7974644400403488,0.0,0.0,-1.0994632018552084,17.69170943931092,-0.0,2.0311263999854408,1.7754441048194425,0.07096848658406901,-12.581692212723581,13.41400717282154,0.01737156634807066,199.6454008864378,2337.360044822361,2073.912511766395
2.6986501715012934,0.0,-0.0,-0.6440087853336779,18.379883618346096,0.0,2.425999165399956,1.0067117343172745,0.03446456788301921,-7.894831673802947,17.08241623342971,1.2259948077115999,98.60367560731532,2036.8669932080747,1906.7741116572345
2.6437929384519236,0.0,0.0,1.3287496229936404,18.705114950254508,0.0,1.6533779078326847,2.2323081495824573,0.12912394384851794,-13.97006656647022,11.137096503442084,1.0893117379137338,256.0427724123874,3248.6147746186825,2910.602673586089
2.7809227198317528,0.0,0.0,0.6847684293655242,17.886178201591633,0.0,2.440985116023454,1.4008119801902184,-0.01790326151682497,-7.805317998771424,15.83527686432888,-0.7350825113458241,140.38318116212758,3226.409642429309,3041.080766283044
2.814427662468057,0.0,0.0,1.1166536261340523,17.634409925189527,-0.0,2.645760136460619,1.118712337431801,-0.010505273759245948,-5.381635493681059,16.44670844061553,-0.05090605914871836,111.39048812301913,3127.07702644554,2980.0263363726262
2.872572776168255,0.0,-0.0,1.4485807987623474,17.244141736073065,0.0,2.6432786715740275,1.3760432690113382,0.019438811842748,-7.3831580643809,14.96380381777296,0.05969435377234129,140.51353998237758,2785.8395615330332,2600.3704343940435
2.980066288053913,-0.0,0.0,0.361152258068969,16.682313393615207,-0.0,2.6968420404736966,1.2885354687155708,0.03617813953631366,-7.386765872932205,14.882991879794504,0.0030593045089459692,134.9343225177435,2744.7721633629385,2566.676684111319
2.98907837019786,-0.0,-0.0,-0.24876134363257804,16.613424827795235,0.0,2.847324895242913,0.9243039817621744,0.0550331589913467,-5.135762296708526,15.478566908913182,2.2544558384636706,100.9650935395766,1808.3985117928935,1675.2338549464805
2.994098455021151,-0.0,0.0,-0.06419728471785156,16.463308833834493,0.0,2.1768647645713304,1.8553628002920175,0.08318326643330733,-12.058308850585469,12.480630129732868,-0.6761921414334251,209.34140641652647,2514.590741867106,2238.3188016589347
2.8614735329466434,0.0,0.0,-1.1006422477952447,17.332477123187214,-0.0,2.557460970291803,1.0337931121101225,-0.009323653067015015,-7.984954873180213,16.120831832404175,-0.3089267223719297,105.76172455612688,3132.9098868897254,2993.2898594688627
